2	3	13
1.6	2.4	8.32
1.28	1.92	5.3248
1.024	1.536	3.40787
0.8192	1.2288	2.18104
0.65536	0.98304	1.39586
0.524288	0.786432	0.893353
0.41943	0.629146	0.571746
0.335544	0.503316	0.365917
0.268435	0.402653	0.234187
0.214748	0.322123	0.14988
0.171799	0.257698	0.0959231
0.137439	0.206158	0.0613908
0.109951	0.164927	0.0392901
0.0879609	0.131941	0.0251457
0.0703687	0.105553	0.0160932
0.056295	0.0844425	0.0102997
0.045036	0.067554	0.00659178
0.0360288	0.0540432	0.00421874
0.028823	0.0432346	0.00269999
0.0230584	0.0345876	0.001728
0.0184467	0.0276701	0.00110592
0.0147574	0.0221361	0.000707787
0.0118059	0.0177089	0.000452984
0.00944473	0.0141671	0.00028991
0.00755579	0.0113337	0.000185542
0.00604463	0.00906694	0.000118747
0.0048357	0.00725355	7.59981e-005
0.00386856	0.00580284	4.86388e-005
0.00309485	0.00464228	3.11288e-005
0.00247588	0.00371382	1.99224e-005
0.0019807	0.00297106	1.27504e-005
